id,createdAt,date,description,amount,category,method,taxReturnable,participants,notes
14cc3a20-ff1b-44d7-8983-5d774e3719e6,2026-04-30T17:31:32.974Z,2026-04-03,bare neccesities,2213.00,Personal Items,Card - Tata Neu,yes,,
3ba1206d-09ea-4e58-9bfa-df4ff4b776d5,2026-04-30T17:51:38.053Z,2026-04-07,breakfast-paragon,75.00,Food,Card - Tata Neu,yes,,
b5096567-b43c-4fed-97ee-acfe4f2d0406,2026-04-30T17:54:52.982Z,2026-04-07,momos,189.00,Food,Card - Tata Neu,yes,You:94.50|N:94.50,
43227094-e7a0-4b49-bae7-cfaca2112d33,2026-04-30T17:58:31.082Z,2026-04-11,zepto - agnes,544.00,Miscellaneous,Card - Tata Neu,yes,Ann Mary:544|You:0,
6f90b3dd-9657-411d-869c-85ed8bf63abd,2026-04-30T17:59:26.990Z,2026-04-12,we mart,35.00,Utilities,Card - Tata Neu,yes,,
ec797806-4640-47e8-8e5b-689420508cfd,2026-04-30T18:00:08.513Z,2026-04-14,frank eats,275.00,Food,Card - Tata Neu,yes,You:137.5|N:137.5,
a6c7726d-248e-42a4-ac53-5e1c92729cae,2026-04-30T18:00:56.613Z,2026-04-15,pothys churidar,1090.00,Personal Items,Card - Tata Neu,yes,,
9509cec8-4894-42c1-8d56-74daa165f8df,2026-04-30T18:02:23.158Z,2026-04-15,pothys - lining,150.00,Personal Items,Card - Tata Neu,yes,,
cb0710a2-ccf6-4a46-8484-5adb74bfff8f,2026-04-30T18:02:54.230Z,2026-04-15,palm tree,940.00,Utilities,Card - Tata Neu,yes,,
229cd7ae-1423-4923-b3ac-eff6bc2103c3,2026-04-30T18:03:22.316Z,2026-04-15,degya,1179.00,Personal Items,Card - Tata Neu,yes,,
e046d45f-1287-49c1-bb2b-9a6202a72111,2026-04-30T18:04:39.398Z,2026-04-17,saree,6230.00,Personal Items,Card - Tata Neu,yes,You:3230|Ann Mary:3000,
a98d88bc-a30c-4125-828c-ceed9a26f670,2026-04-30T18:07:42.861Z,2026-04-17,pendand,9300.00,Miscellaneous,Card - Tata Neu,yes,Ann Mary:4650|You:4650,
f3493a37-f8f5-4317-b5fe-c667b85879f7,2026-04-30T18:11:51.013Z,2026-04-22,zomato,550.00,Food,Card - Tata Neu,yes,Hanna:275|Hamda:275,
5afd1acb-074b-4191-9ded-60f9aefc3187,2026-04-30T18:13:47.286Z,2026-04-22,irctc,375.00,Travel,Card - Tata Neu,yes,,
61eadc84-75a1-474d-8fca-1f39ded2cdf1,2026-04-30T18:14:27.633Z,2026-04-22,hamda - ticket,635.00,Travel,Card - Tata Neu,yes,Hamda (₹0):635,
eac5f4e8-4701-43aa-949c-1ebe5180a0ee,2026-04-30T18:15:41.532Z,2026-04-26,AVO,380.00,Food,Card - Tata Neu,yes,You:190|Hamda:190,
8238883c-ba87-4743-b225-5d84452a5ce9,2026-04-30T18:16:23.145Z,2026-04-28,paragon - biriyani,160.00,Lunch,Card - Tata Neu,yes,,
62cc53cf-5f83-4a20-93e6-152cdd2c0244,2026-04-30T18:22:36.211Z,2026-04-26,we mart,1039.00,Utilities,Pluxee,yes,Hamda:0|Hanna:0|You:1039,
88d1b4c8-4e86-4bd6-9b2b-1491d4301c08,2026-04-30T18:23:37.792Z,2026-04-25,momos,230.00,Food,Pluxee,yes,,
6ab6503b-27a0-4a0c-bf7f-12cbbad752b3,2026-04-30T18:24:04.959Z,2026-04-21,curd,12.00,Utilities,Pluxee,yes,,
5c8875e4-7399-4fec-88e1-0ebb190935cf,2026-04-30T18:26:10.827Z,2026-04-19,we mart,115.00,Utilities,Pluxee,yes,,
1cf4046f-d7c8-4ae3-9aac-e2f6a0328bb8,2026-04-30T18:27:18.708Z,2026-04-11,ann mary,195.00,Food,Pluxee,yes,Ann Mary:195,
9ca5c754-c2b5-48d8-bfeb-06f0b80742b4,2026-04-30T18:33:32.970Z,2026-04-30,rent,6166.00,Rent,UPI,yes,,
4c036d6d-18ca-4cdb-a921-aa4e662a52dc,2026-04-30T18:34:41.512Z,2026-04-08,auto to office,37.50,Travel,UPI,yes,,
ec4e8dad-d024-4677-aae1-dbca7e76d01e,2026-04-30T18:35:13.228Z,2026-04-13,shake- 17 C,80.00,Food,UPI,yes,,
5b8deb79-2b7b-4343-8bc5-6ca22d63356d,2026-04-30T18:35:45.861Z,2026-04-14,auto to office,24.34,Travel,UPI,yes,,
efc2c254-451d-4be1-b73f-42bfbdc594b3,2026-04-30T18:36:20.003Z,2026-04-21,water bill,1860.00,Bills,UPI,yes,,
8bf053b8-08f8-462b-972c-62ee45bbf1ba,2026-04-30T18:37:29.211Z,2026-04-22,auto to ofice,24.67,Travel,UPI,yes,,
a60e050e-4eb1-4940-82f3-dd83562d561e,2026-04-30T19:05:34.693Z,2026-04-21,oats+milk,120.00,Utilities,Pluxee,yes,Hanna:60|You:60,
ad260be8-bd39-4930-a407-d51e1318b333,2026-04-30T19:11:25.160Z,2026-04-21,apple - hanna,65.00,,UPI,yes,Hanna:65,
1a9a921b-c63d-4172-a826-633812f12335,2026-04-30T19:17:56.874Z,2026-04-26,liq washing,337.00,Utilities,Pluxee,yes,Hamda:168.5|You:168.5,
e6aeb055-c3ce-4d33-abe2-c7a017eabf94,2026-04-30T19:20:12.834Z,2026-04-26,fruits + tisssue...,534.59,Utilities,Pluxee,yes,,
54d4c073-a1e1-46fd-b8f4-4c3fec33e2e1,2026-04-30T19:21:18.000Z,2026-04-26,egg,66.00,Utilities,UPI,yes,You:22|Hanna:22|Hamda:22,
a6c079a1-d38c-4472-89ca-3bf9670a0810,2026-04-30T19:22:55.708Z,2026-04-26,carrt,18.00,Miscellaneous,Pluxee,yes,You:9|Hamda:9,
0ef9be0d-c3b9-4313-9f43-99ddc42609e4,2026-04-30T19:25:03.050Z,2026-04-26,hamda utils,66.00,Utilities,Pluxee,yes,Hamda:66,
6858389f-5df6-4759-9176-88743eaae9e9,2026-04-30T19:28:37.029Z,2026-04-17,lulu,229.50,Food,UPI,yes,,
a092d606-dcb4-4671-a369-1f14f66d7a0a,2026-04-30T19:29:48.484Z,2026-04-30,youtube,60.00,Entertainment,UPI,yes,,
7628994c-76a1-4100-87b5-fd23b098cba8,2026-04-30T19:30:33.551Z,2026-04-21,lunch,170.00,Lunch,UPI,yes,,
1adce6a5-dd3b-4af5-bdf9-67d3f731ec4e,2026-04-30T19:30:57.850Z,2026-04-29,cake,217.66,Miscellaneous,UPI,yes,,
28b6d989-62c6-415d-9198-03b03b2c8585,2026-04-30T19:31:29.797Z,2026-04-29,mandi,292.33,Lunch,UPI,yes,,
